group,detailPage,name,subjectId,canton
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349732.htm#349893,Reimann Maximilian,10.098,AG
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349732.htm#349892,David Eugen,10.098,SG
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349732.htm#349897,Frick Bruno,10.098,SZ
Altherr Hans,/ab/data/d/s/4817/349950/d_s_4817_349950_349978.htm#350093,Präsident,08.011,erster Vizepräsident
V,/ab/data/d/s/4817/349950/d_s_4817_349950_349978.htm#350196,Bürgi Hermann,08.011,TG
S,/ab/data/d/s/4817/349950/d_s_4817_349950_349978.htm#350205,Janiak Claude,08.011,BL
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349777,Maissen Theo,09.082,GR
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349723,Maissen Theo,09.082,GR
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349804,Fetz Anita,09.082,BS
RL,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349860,Forster-Vannini Erika,09.082,SG
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349859,Jenny This,09.082,GL
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349872,Bürgi Hermann,09.082,TG
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349880,Fetz Anita,09.082,BS
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349868,Imoberdorf René,09.082,VS
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349883,Maissen Theo,09.082,GR
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349885,Maissen Theo,09.082,GR
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349697.htm#349888,Maissen Theo,09.082,GR
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349737,Jenny This,10.3896,GL
RL,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349818,Büttiker Rolf,10.3896,SO
G,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349774,Recordon Luc,10.3896,VD
BD,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349821,Luginbühl Werner,10.3896,BE
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349820,Fetz Anita,10.3896,BS
